ligand,receptor,sender,receiver,interaction_score
Spp1,Cd44,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,0.15236528
Spp1,Itgav,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,0.043610036
Spp1,Cd44,Other_macrophage,Other_fibroblasts,0.03650247
Il1b,Il1r1,Pro_fibrotic_associated_macrophage,Other_fibroblasts,0.030182252
Pdgfb,Pdgfrb,Pro_fibrotic_associated_macrophage,Other_fibroblasts,0.029266864
Tgfb1,Tgfbr2,Pro_fibrotic_associated_macrophage,Other_fibroblasts,0.024462627
Ccl3,Ccr1,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,0.022745574
Il1b,Il1r1,Other_macrophage,ECM_high_fibroblasts,0.022120088
Pdgfb,Pdgfrb,Other_macrophage,ECM_high_fibroblasts,0.021449216
Ccl2,Ccr2,Pro_fibrotic_associated_macrophage,Other_fibroblasts,0.018253347
Tgfb1,Tgfbr2,Other_macrophage,ECM_high_fibroblasts,0.017928267
Tgfb1,Tgfbr1,Pro_fibrotic_associated_macrophage,Other_fibroblasts,0.013649072
Ccl2,Ccr2,Other_macrophage,ECM_high_fibroblasts,0.013303215
Tnf,Tnfrsf1a,Pro_fibrotic_associated_macrophage,Other_fibroblasts,0.012463289
Csf1,Csf1r,Pro_fibrotic_associated_macrophage,Other_fibroblasts,0.011801502
Spp1,Itgav,Other_macrophage,Other_fibroblasts,0.010447746
Tgfb1,Tgfbr1,Other_macrophage,ECM_high_fibroblasts,0.010003184
Tnf,Tnfrsf1a,Other_macrophage,ECM_high_fibroblasts,0.009134145
Csf1,Csf1r,Other_macrophage,ECM_high_fibroblasts,0.0086861495
Pdgfa,Pdgfra,Pro_fibrotic_associated_macrophage,Other_fibroblasts,0.0068470337
Ccl4,Ccr5,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,0.0060739373
Ccl3,Ccr1,Other_macrophage,Other_fibroblasts,0.005449205
Pdgfa,Pdgfra,Other_macrophage,ECM_high_fibroblasts,0.0050180806
Ccl4,Ccr5,Other_macrophage,Other_fibroblasts,0.001491973
Ccl4,Ccr5,Other_macrophage,ECM_high_fibroblasts,-0.002545107
Pdgfa,Pdgfra,Other_macrophage,Other_fibroblasts,-0.0028690503
Ccl4,Ccr5,Pro_fibrotic_associated_macrophage,Other_fibroblasts,-0.0035606166
Csf1,Csf1r,Other_macrophage,Other_fibroblasts,-0.0049537555
Tnf,Tnfrsf1a,Other_macrophage,Other_fibroblasts,-0.005222379
Tgfb1,Tgfbr1,Other_macrophage,Other_fibroblasts,-0.0057192463
Ccl2,Ccr2,Other_macrophage,Other_fibroblasts,-0.007648532
Ccl3,Ccr1,Other_macrophage,ECM_high_fibroblasts,-0.009530871
Tgfb1,Tgfbr2,Other_macrophage,Other_fibroblasts,-0.010250352
Pdgfa,Pdgfra,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,-0.011975729
Pdgfb,Pdgfrb,Other_macrophage,Other_fibroblasts,-0.012263428
Il1b,Il1r1,Other_macrophage,Other_fibroblasts,-0.012646995
Ccl3,Ccr1,Pro_fibrotic_associated_macrophage,Other_fibroblasts,-0.013004614
Spp1,Itgav,Other_macrophage,ECM_high_fibroblasts,-0.018273516
Csf1,Csf1r,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,-0.020693311
Tnf,Tnfrsf1a,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,-0.02179878
Tgfb1,Tgfbr1,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,-0.023872757
Spp1,Itgav,Pro_fibrotic_associated_macrophage,Other_fibroblasts,-0.02493371
Ccl2,Ccr2,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,-0.03174834
Tgfb1,Tgfbr2,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,-0.04278609
Pdgfb,Pdgfrb,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,-0.05118889
Il1b,Il1r1,Pro_fibrotic_associated_macrophage,ECM_high_fibroblasts,-0.052789938
Spp1,Cd44,Other_macrophage,ECM_high_fibroblasts,-0.06384424
Spp1,Cd44,Pro_fibrotic_associated_macrophage,Other_fibroblasts,-0.087113716
